2026-06-25 23:42:53 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H4_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-25 23:42:53 | INFO   | feature_C_engine_4.py        | 88   : execute                  | ✅ Feature calculation complete. Result shape: (125828, 34), Columns: ['H1_open', 'H1_high', 'H1_low', 'H1_close', 'H1_volume', 'H1_spread', 'H4_open', 'H4_high', 'H4_low', 'H4_close', 'H4_volume', 'H4_spread', 'H4_start_time', 'D1_open', 'D1_high', 'D1_low', 'D1_close', 'D1_volume', 'D1_spread', 'D1_start_time', 'hour_of_day', 'hour_sin', 'hour_cos', 'day_of_week', 'dow_sin', 'dow_cos', 'session_asia', 'session_london', 'session_newyork', 'qc_gap', 'qc_spike', 'qc_stale', 'sma', 'sma__dup']
2026-06-25 23:46:32 | INFO   | main_6_2_orch.py             | 80   : setup_logging            | ============================================================
2026-06-25 23:46:32 | INFO   | main_6_2_orch.py             | 81   : setup_logging            | Bot-RL-2 Starting - Listener-based, No Polling
2026-06-25 23:46:32 | INFO   | main_6_2_orch.py             | 82   : setup_logging            | ============================================================
2026-06-25 23:46:32 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-25 23:46:32 | INFO   | main_6_2_orch.py             | 197  : load_configuration       | Configuration loaded successfully
2026-06-25 23:46:32 | INFO   | feature_B_bootstrap.py       | 146  : build_feature_system     | function 'build_feature_system' is started
2026-06-25 23:46:32 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-25 23:46:32 | INFO   | main_6_2_orch.py             | 281  : _init_components         | DataHandler initialized in batch mode for train
2026-06-25 23:46:34 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H1'.
2026-06-25 23:46:35 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'H4': 7 cells remain. These rows will be dropped to avoid lookahead.
2026-06-25 23:46:35 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H4'.
2026-06-25 23:46:35 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'D1': 77 cells remain. These rows will be dropped to avoid lookahead.
2026-06-25 23:46:35 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'D1'.
2026-06-25 23:46:36 | INFO   | data_handler_F_2.py          | 482  : _finalize_dataframe      | NaN check passed: no NaN in data columns.
2026-06-25 23:46:36 | INFO   | data_handler_F_2.py          | 499  : _finalize_dataframe      | Column check passed: all expected OHLC columns present.
2026-06-25 23:46:36 | INFO   | main_6_2_orch.py             | 303  : start_batch              | Batch mode started: 125828 rows
2026-06-25 23:46:52 | INFO   | feature_C_engine_4.py        | 70   : execute                  | ✅ Parsed 3 feature specs: ["sma(column='close',period=20)@H1", "sma(column='close',period=20)@H4", "sma(column='close',period=20)@D1"]
2026-06-25 23:46:52 | INFO   | feature_C_engine_4.py        | 75   : execute                  | ✅ Execution order: ["sma(column='close',period=20)@D1", "sma(column='close',period=20)@H1", "sma(column='close',period=20)@H4"]
2026-06-25 23:46:52 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:46:52 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'D1_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-25 23:46:53 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:46:53 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H1_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-25 23:46:53 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:46:53 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H4_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-25 23:46:53 | INFO   | feature_C_engine_4.py        | 88   : execute                  | ✅ Feature calculation complete. Result shape: (125828, 34), Columns: ['H1_open', 'H1_high', 'H1_low', 'H1_close', 'H1_volume', 'H1_spread', 'H4_open', 'H4_high', 'H4_low', 'H4_close', 'H4_volume', 'H4_spread', 'H4_start_time', 'D1_open', 'D1_high', 'D1_low', 'D1_close', 'D1_volume', 'D1_spread', 'D1_start_time', 'hour_of_day', 'hour_sin', 'hour_cos', 'day_of_week', 'dow_sin', 'dow_cos', 'session_asia', 'session_london', 'session_newyork', 'qc_gap', 'qc_spike', 'qc_stale', 'sma', 'sma__dup']
2026-06-26 00:21:06 | INFO   | main_6_2_orch.py             | 80   : setup_logging            | ============================================================
2026-06-26 00:21:06 | INFO   | main_6_2_orch.py             | 81   : setup_logging            | Bot-RL-2 Starting - Listener-based, No Polling
2026-06-26 00:21:06 | INFO   | main_6_2_orch.py             | 82   : setup_logging            | ============================================================
2026-06-26 00:21:07 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-26 00:21:07 | INFO   | main_6_2_orch.py             | 197  : load_configuration       | Configuration loaded successfully
2026-06-26 00:21:07 | INFO   | feature_B_bootstrap.py       | 146  : build_feature_system     | function 'build_feature_system' is started
2026-06-26 00:21:07 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-26 00:21:07 | INFO   | main_6_2_orch.py             | 281  : _init_components         | DataHandler initialized in batch mode for train
2026-06-26 00:21:09 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H1'.
2026-06-26 00:21:09 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'H4': 7 cells remain. These rows will be dropped to avoid lookahead.
2026-06-26 00:21:09 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H4'.
2026-06-26 00:21:09 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'D1': 77 cells remain. These rows will be dropped to avoid lookahead.
2026-06-26 00:21:09 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'D1'.
2026-06-26 00:21:10 | INFO   | data_handler_F_2.py          | 482  : _finalize_dataframe      | NaN check passed: no NaN in data columns.
2026-06-26 00:21:10 | INFO   | data_handler_F_2.py          | 499  : _finalize_dataframe      | Column check passed: all expected OHLC columns present.
2026-06-26 00:21:10 | INFO   | main_6_2_orch.py             | 303  : start_batch              | Batch mode started: 125828 rows
2026-06-26 00:21:28 | INFO   | feature_C_engine_4.py        | 70   : execute                  | ✅ Parsed 3 feature specs: ["sma(column='close',period=20)@H1", "sma(column='close',period=20)@H4", "sma(column='close',period=20)@D1"]
2026-06-26 00:21:28 | INFO   | feature_C_engine_4.py        | 75   : execute                  | ✅ Execution order: ["sma(column='close',period=20)@D1", "sma(column='close',period=20)@H1", "sma(column='close',period=20)@H4"]
2026-06-26 00:21:28 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-26 00:21:28 | INFO   | feature_C_engine_4.py        | 307  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'D1_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-26 00:21:29 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-26 00:21:29 | INFO   | feature_C_engine_4.py        | 307  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H1_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-26 00:21:29 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-26 00:21:29 | INFO   | feature_C_engine_4.py        | 307  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H4_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
